1.67823 1.21768 0.730348 | 2.10095 11.0013 128.586 2.48318 0.817413 0.817413 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.909528 0.618698 0.439634 | 4.25332 8.24601 132.453 1.49476 0.890091 0.890091 1 | 1 | -73.9325 | 0.0172059 0.335805 0.32047 0.605604 0.00278737 0.00722175 0.991927 0.997436 0.000152073 1.58833e-07 0.35752 
1.0859 0.110328 0.523852 | 3.75949 5.90751 131.333 1.7811 0.869037 0.869037 1 | 1 | -82.4118 | 0.00310721 0.659054 0.658984 0.699496 0.000316364 0.00395321 0.996451 0.999234 4.91013e-05 3.86532e-08 0.442051 
1.23307 0.513763 0.382759 | 3.34742 7.76331 133.209 1.30138 0.90431 0.90431 1 | 1 | -75.6839 | 0.0122331 0.404006 0.398022 0.724597 0.000865682 0.00637601 0.998465 0.998002 0.000120406 1.18623e-07 0.37445 
1.74972 0.969398 1.14481 | 1.90078 9.85923 123.074 3.89237 0.713796 0.713796 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.574148 0.0774391 1.17807 | 5.19239 5.75622 122.632 4.00544 0.705482 0.705482 1 | 1 | -81.2575 | 0.00395209 0.619261 0.618607 0.632814 0.000386023 0.00429884 0.986286 0.999097 5.72706e-05 4.68531e-08 0.430224 
0.857399 0.00505343 1.10732 | 4.39928 5.42325 123.573 3.76488 0.72317 0.72317 1 | 1 | -83.0181 | 0.00273654 0.678928 0.678845 0.678733 0.000290391 0.00378807 0.991982 0.999298 4.52884e-05 3.49382e-08 0.448291 
1.2421 0.270426 0.399506 | 3.32213 6.64396 132.987 1.35832 0.900123 0.900123 1 | 1 | -79.7058 | 0.00544383 0.56224 0.561741 0.751119 0.000466298 0.00479159 0.998707 0.998874 7.04332e-05 6.0681e-08 0.414452 
1.36289 0.476467 1.18111 | 2.9839 7.59175 122.591 4.01579 0.704722 0.704722 1 | 1 | -74.1081 | 0.0166337 0.342496 0.334341 0.957274 0.00104498 0.00713008 0.999505 0.997499 0.000148555 1.54252e-07 0.359202 
0.828452 0.184146 0.626544 | 4.48034 6.24707 129.967 2.13025 0.843364 0.843364 1 | 1 | -80.6607 | 0.00447207 0.597767 0.59711 0.645686 0.000417611 0.0044804 0.990412 0.999017 6.20136e-05 5.1753e-08 0.424139 
1.64011 0.884859 0.410432 | 2.20769 9.47035 132.841 1.39547 0.897392 0.897392 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
1.70606 0.777019 0.960029 | 2.02303 8.97429 125.532 3.2641 0.759993 0.759993 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
1.48326 0.0844023 0.924282 | 2.64687 5.78825 126.007 3.14256 0.76893 0.76893 1 | 1 | -81.9506 | 0.00342137 0.643451 0.643396 0.901588 0.000337734 0.00408453 0.999564 0.999182 5.22154e-05 4.17416e-08 0.437317 
1.65564 0.17678 0.0243802 | 2.16421 6.21319 137.976 0.0828926 0.993905 0.993905 1 | 1 | -82.5425 | 0.00302339 0.6634 0.663374 0.940825 0.000310351 0.00391607 0.999717 0.999248 4.82531e-05 3.78203e-08 0.443395 
0.888623 1.08359 1.02673 | 4.31185 10.3845 124.644 3.49089 0.743317 0.743317 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
1.60437 0.488298 0.93234 | 2.30777 7.64617 125.9 3.16996 0.766915 0.766915 1 | 1 | -74.664 | 0.0149358 0.363935 0.360728 0.990568 0.000957432 0.00685435 0.999581 0.997689 0.000137943 1.40602e-07 0.36455 
0.944361 1.19141 0.378292 | 4.15579 10.8805 133.269 1.28619 0.905427 0.905427 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
1.41559 0.972768 0.0691559 | 2.83636 9.87473 137.38 0.23513 0.982711 0.982711 1 | 0 | NaN | NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
